,CATALOGUE GENERAL DES SERVICES PUBLICS,,,,,,,,,,,,,,,,,COLLECTE DETAILLEE,,,,,,,,,,,,
8,MID/DACCIM/C/P8,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Permis de conduire (duplicata),G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",320 Ar/ Catégorie,"Attestation déclaration de perte,
Protocopie CNI certifiée,
Certificat de résidence",Permis biométrique,"Centres Immatriculateurs des six provinces
Ambohidahy  porte 24",Toute personne ayant perdu son permis,PERMIS,"Catégorie A-B: dépend de la date de naissance de la personne titulaire du PC,
 Catégorie C-D-E: si 60 ans et plus 1ans/ si 50 à 59 2ans/ si 40 à 49ans 3ans/ si moins de 40 ans 5ans",46 par jours,45 jours/ si 60 ans et plus 1 jour,"Transport,
 Sécurité routière","

Etape 1: Paiement du cout à l'accuiel
Etape 2: Octroi avis de paiement
Etape 3: Paiement 38 000 Ariary à la Porte 19
Etape 4: Enregistrement informations (non et catégorie de permis)
Etape 5: Prise de photo et d'empreinte et signature électronique et validation avant impression à la Porte 202
Etape 6: Saisie des informations détaillés (identité civil, informations permis)
Etape 7: Controle des informations
Etape 8: Validation des informations
Etape 9: Organisation des planning d'impression des permis
Etape 10: Impression à la Porte 24
Etape 11: Délivrance permis à la Porte 24
",,,NON,,,,,,,,,
9,MID/DACCIM/C/P9,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Conversion permis de conduire étranger en permis de conduire Malagasy,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'enregistrementextention du permis de conduire(permis biométrique) :38000 MGA , 
 320 Ar/ Catégorie","Demande sur papier libre,
Photocopie du Permis de conduire étranger,
Permis de conduire étranger,
Photocopie CIN,
Photocopie passeport et carte de résident,
Certificat de résidence,
Traduction permis de conduire
Attestation d'emploi",Permis biométrique malagasy,Centres Immatriculateurs Ambohidahy porte 202,Tout étranger résident titulaire d'un permis de conduire de son pays d'origine,PERMIS,Selon catégorie et âge du titulaire du permis,5 à 10 par semaine,45 jours,"Transport,
 Sécurité routière","

Etape 1: Paiement du cout à l'accuiel
Etape 2: Octroi avis de paiement
Etape 3: Paiement 38 000 Ariary à la porte 19
Etape 4: Enregistrement informations (non et catégorie de permis)
Etape 5: Prise de photo et d'empreinte et signature électronique et validation avant impression à la porte 202
Etape 6: Saisie des informations détaillés (identité civil, informations permis)
Etape 7: Controle des informations
Etape 8: Validation des informations
Etape 9: Organisation des planning d'impression des permis
Etape 10: Impression à la porte 24
Etape 11: Délivrance permis à la porte 24
",,,NON,,,,,,,,,
10,MID/DACCIM/C/P10,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Demande de carte grise pour véhicule neuf ou d'occasion importés par les  particuliers,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",Droit carte grise 75 300 Ar,"Procès verbal de réception technique délivré par la DGRS (Direction Générale de la Sécurité Routière),
 Carte grise originale étrangère,
 Modèle,
 Quittance de paiement ,
 DAU,
 Connaissement,
 SGS,
 Déclaration sur l'honneur signature à légaliser,
 Photocopie certifiée conforme à l'original d'une pièce d'identité,
 Certificat de résidence propriétaire,
 Droit : 
 200 MGA/cheval droit d'immatriculation, 
 750300 MGA carte grise ,
 Chemise dossier: rose si immatriculation/bleu si mutation",Carte grise biométrique,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Tout citoyen ou étranger résident ayant importé un véhicule neuf ou d'occasion,CERTIFICAT,A vie,"650 par semaines (duplicata, immatriculations, transformation)",30 jours ouvrable,"Transport,
 Sécurité routière,
 Commerce","
Etape 1: Dépot des dossers au guichet unique rez de chaussée et remplissage des formulaires ( acte de ventes véhicules, déclaration de responsabilité et fiche de suivi)
Etape 2: Enregistrement dossier à la Porte 201 après paiement des droits et taxes 
Etape 3: Organisation des planning d'impression de carte grise
Etape 4: Impression à la Porte 24
Etape 5: Scanner le plan d'archive électronique
Etape 6: Délivrance carte griseà la  Porte 201",Douane et impôt,,NON,"
MID/DACCIM/C/P10/F001
MID/DACCIM/C/P10/F002
MID/DACCIM/C/P10/F003",,,,,,,,
11,MID/DACCIM/C/P11,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Autorisation de mise en circulation de véhicules de transport en commun et voiture de location,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",0 Ariary,"Visa carte violette,
 Carnets d'entretien",Carte violette,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Toute personne possédant des véhicules de transport en commun ou voiture de location,AUTORISATION,6 mois,780 par semaines,3 jours,"Transport,
 Sécurité routière","
Etape 1: Dépôt des carnets d'entretien et documents,
Etae 2:  Signature par le responsable,
Etape 3: Réception dossier de la part de la Direction Générale de la Sécurité Routière à la Porte 18
Etape 4: Vérification des dossiers à la Porte 18
Etape 5: Signature de la carte violette par le responsable porte 18
Etape 6: Délivrance de la carte violette auprès de la guichet unique",,,NON,Aucun,,,,,,,,
12,MID/DACCIM/C/P12,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Immatriculation et mutation,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droits d'immatriculation: 200 Ar,
 Carte grise : 75 300 Ar
 Droit de mutation selon valeur du véhicule, caractéristique du véhicule","Déclaration sur l'honneur avec les signatures légalisées des deux parties, DECLARATION DE RESPONSABILITE ET ENGAGEMENT SUR L'HONNEUR
 Ancienne carte grise dûment visée par le ministère de l'Intérieur au service de contrôle d'immatriculation et des permis de conduire (Anosy), 
 Certificat de non gage moins de 03 mois dûment visé par le Ministère de l'Intérieur au service du contrôle d'immatriculation et des permis de conduire (Anosy),
 Acte de vente avec les signatures légalisées des 02 parties,
 Photocopies certifiées d'une pièce d'identité des 02 parties,
 Certificat de résidence acheteur,
 Chemise dossier rose,
 Surplus de dossier si société et ONG selon leurs cas",Carte grise biométrique,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Toute personne souhaitant immatriculer et muter un véhicule,CERTIFICAT,A vie,"Immatriculation: 250
 Mutation:350",30 jours ouvrable,"Transport,
 Sécurité routière","Etape 1: Dépôt des dossiers à la réception au guichet unique 
Etape 2: Vérification par 2 modalités: diagonale par le SPA et par la déléguation au TRANO FITARATRA
Etape 3: Division ou dispacting de la vérification:  mutation, duplicata, transformation et immatriculation
Etape 4: Paiement des droits et taxes si le dossier est  recevable dans les 4 cas mais au Trésor pour la mutation
Etape 5: Enregistrement interne et légalisation
Etape 6: Enregistrement de quittance de paiement  par scan QR code
Etape 7: Revérification des 4 cas 
Etape 8: Validation des dossiers
Etape 9: Délivrance de ticket de rendez vous pour la prise de carte grise
Etape 10: Planning d'impression et scan des dossiers en interne
Etape 11: Délivrance de la carte grise pour récupération par le demandeur à la porte 201","Douanes,
 Impôts",,NON,Aucun,,,,,,,,
13,MID/DACCIM/C/13,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Changement de résidence,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'immatriculation : 200 Ar/Cheval,
 Carte grise : 75 000 Ar","Déclaration sur l'honneur avec signature légaliséé du propriétaire, DECLARATION DE RESPONSABILITE ET ENGAGEMENT SUR L'HONNEUR
 Ancienne carte grise visée par le Ministère de l'Intérieur, au service du contrôle d'immatriculation et des permis de conduire (Anosy),
 Photocopie certifiée conforme à l'original d'une pièce d'identité,
 Certificat de résidence propriétaire,
 Chemise dossier rose",Carte grise biométrique,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Tout citoyen ou étranger résident ayant changé de résidence,CERTIFICAT,A vie,75 par semaine,30 jours ouvrable,"Transport,
 Sécurité routière","Etape 1: Dépôt des dossiers à la réception au guichet unique 
Etape 2: Vérification par 2 modalités: diagonale par le SPA et par la déléguation au TRANO FITARATRA
Etape 3: Division ou dispacting de la vérification:  mutation, duplicata, transformation et immatriculation
Etape 4: Paiement des droits et taxes si le dossier est  recevable dans les 4 cas mais au Trésor pour la mutation
Etape 5: Enregistrement interne et légalisation
Etape 6: Enregistrement de quittance de paiement  par scan QR code
Etape 7: Revérification des 4 cas 
Etape 8: Validation des dossiers
Etape 9: Délivrance de ticket de rendez vous pour la prise de carte grise
Etape 10: Planning d'impression et scan des dossiers en interne
Etape 11: Délivrance de la carte grise pour récupération par le demandeur à la porte 201","Douanes,
 Impôts",,NON,Aucun,,,,,,,,
14,MID/DACCIM/C/P14,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Véhicule neuf importé par les concessionnaires,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'immatriculation: 200 Ar/Cheval,
 Carte grise : 75 000 Ar, 
 Droit fixe d'immatriculation : 40 000 Ar","Déclaration de mise en circulation,
 Procès verbal de réception technique délivré par la Direction Générale de la Sécurité Routière,
 Certificat de conformité pour les véhicules neuf sortant du garage (VNG),
 Certificat pour servir à l'immatriculation délivré par le service des Douanes,
 Certificat ou Attestation de vente délivrée par le concessionnaire,
 Photocopie d'une pièce d'identité de l'acquéreur visée par le concessionnaire,
 Certificat de résidence,
 Chemise dossier verte",Carte grise biométrique,CIM Ankadimbahoaka Bâtiment Alhambra 1er étage,Toute personne souhaitant acheter un véhicule neuf importé par un concessionnaire,CERTIFICAT,A vie,250 à 500 par semaine,30 jours ouvrable,"Transport,
 Sécurité routière,
 Commerce","
Etape 1: Constitution de  dossier auprès du concessionnaire (propriétaire)
Etape 2: Déposer le dossier auprès du Centres Immatriculateurs Ankadimbahoaka
Etape 3: Organisation des planning d'impression de carte grise
Etape 4: Impression à la Porte 14 Centres Immatriculateurs Ambohida
Etape 5: Scanner le plan d'archive électronique
Etape 6: Délivrance carte grise à la Porte 201 Centres Immatriculateurs Ambohida
","Douanes,
 Impôts",,NON,Aucun,,,,,,,,
15,MID/DACCIM/C/P15,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Mutation vente entre particuliers,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'enregistrement selon caractéristique du véhicule; 5% de la valeur du véhicule 
 Droit carte grise: 75 300 Ar","Déclaration sur l'honneur avec légalisation de signature des 02 parties, DECLARATION DE RESPONSABILITE ET ENGAGEMENT SUR L'HONNEUR
 Ancienne carte grise,
 Acte de vente à enregistrer avec légalisation des signatures des 02 parties,
 Photocopie certifiée conforme à l'original des pièces d'identité des 02 parties,
 Certificat de résidence Acheteur",Carte grise biométrique au nom du nouveau propriétaire,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Toute personne souhaitant muter ou vendre un véhicule à un particulier,CERTIFICAT,A vie,Compris avec le stat carte grise (650 en tous),30 jours ouvrable,"Transport,
 Sécurité routière","Etape 1: Dépôt des dossiers à la réception au guichet unique,
Etape 2:  Paiement des droits et taxes si dossier recevable","Douanes,
 Impôts",,NON,,,,,,,,,
16,MID/DACCIM/C/P16,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Mutation entre époux,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar","Droit d'enregistrement
 Droit de CG 75 300 Ar","Déclarartion sur l'honneur signature des 02 époux à légaliser, DECLARATION DE RESPONSABILITE ET ENGAGEMENT SUR L'HONNEUR
 Carte grise originale,
 Acte de cession: contrat entre les deux époux à légaliser et à enregistrer,
 Photocopie certifiée conforme à l'original des pièces d'identité des deux époux,
 Acte de mariage des deux époux,
 Certificat de résidence de l'acquéreur",Carte grise biométrique au nom de l'un des époux,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,Tous les époux souhaitant faire une mutation d'un véhicule l'un à l'autre,CERTIFICAT,A vie,Compris avec le stat carte grise (650 en tous),30 jours ouvrable,"Transport,
 Sécurité routière","Etape 1: Dépôt des dossiers à la réception au guichet unique 
Etape 2: Vérification par 2 modalités: diagonale par le SPA et par la déléguation au TRANO FITARATRA
Etape 3: Division ou dispacting de la vérification:  mutation, duplicata, transformation et immatriculation
Etape 4: Paiement des droits et taxes si le dossier est  recevable dans les 4 cas mais au Trésor pour la mutation
Etape 5: Enregistrement interne et légalisation
Etape 6: Enregistrement de quittance de paiement  par scan QR code
Etape 7: Revérification des 4 cas 
Etape 8: Validation des dossiers
Etape 9: Délivrance de ticket de rendez vous pour la prise de carte grise
Etape 10: Planning d'impression et scan des dossiers en interne
Etape 11: Délivrance de la carte grise pour récupération par le demandeur à la porte 201","Douanes,
 Impôts",,NON,,,,,,,,,
17,MID/DACCIM/C/P17,MID (Ministère de l'Intérieur et de la Décentralisation),DACCIM (Direction d'Appui et de Coordination des Centres Immatriculateurs),Centres immatriculateurs,Mutation héritier en cas de décès du propriétaire,G2C,"Arrêté n°13382/2023 du 31 Mars 2023 fixant les modalités d'organisation , de fonctionnement et les attributions des centres immatriculateurs de Madagascar",Droit de CG 75 300 Ar,"Déclaration sur l'honneur dont signature du déclarant à certifier, DECLARATION DE RESPONSABILITE ET ENGAGEMENT SUR L'HONNEUR
 Ancienne carte grise,
 Acte de décès,
 Acte de notoriété,
 Acte de tutelle pour les mineurs, 
 Photocopies certifiées conforme à l'original des pièces d'identité des héritiers majeurs civils (21 ans),
 Accords des héritiers avec législation de signatures, 
 Certificat de paiement/Centre fiscal,
 Certificat de résidence de l'acquéreur",Carte grise au nom de l'un des heritiers,Centres Immatriculateurs Ambohidahy guichet unique rez de chaussé,L'héritier du propriétaire décédé souhaitant effectuer une mutation du véhicule hérité,CERTIFICAT,A vie,Compris avec le stat carte grise (650 en tous),30 jours ouvrable,"Transport,
 Sécurité routière,
 Succession","Etape 1: Dépôt des dossiers à la réception au guichet unique 
Etape 2: Vérification par 2 modalités: diagonale par le SPA et par la déléguation au TRANO FITARATRA
Etape 3: Division ou dispacting de la vérification:  mutation, duplicata, transformation et immatriculation
Etape 4: Paiement des droits et taxes si le dossier est  recevable dans les 4 cas mais au Trésor pour la mutation
Etape 5: Enregistrement interne et légalisation
Etape 6: Enregistrement de quittance de paiement  par scan QR code
Etape 7: Revérification des 4 cas 
Etape 8: Validation des dossiers
Etape 9: Délivrance de ticket de rendez vous pour la prise de carte grise
Etape 10: Planning d'impression et scan des dossiers en interne
Etape 11: Délivrance de la carte grise pour récupération par le demandeur à la porte 201","Douanes,
 Impôts",,NON,Aucun,,,,,,,,
