ID,SERVICE_NAME,SERVICE_TYPE,TENANT,DEPARTMENT,CATEGORY,DESCRIPTION,LEGAL_TEXT,COST_MIN,COST_MAX,COST_CURRENCY,COST_NOTES,DOCUMENTS,PROCESSING_TIME,PROCESSING_TIME_NOTES,STEPS,ACCESS_MODE,STATUS,AUDIENCE,SUPPORT_CONTACT,ELIGIBILITY,OUTPUT_NAME
MID/CRA/C/P9,Demande d'une copie d'acte de mariage,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),"Service de l'état civil ",Demande d'une copie d'acte de mariage. Toute personne mariée légalement souhaitant faire une démarche administrative,Loi n° 2018-027 Relative à l’état civil,2000,2000,MGA,2 000 Ariary,Demande adressée au maire de la Commune Rurale Ambohimangakely|Photocopie CIN|Numéro de l'acte de mariage ou livret de famille,6 h,Validité: 03 mois,Dépôt de dossier au service d'état civil et remplissage du formulaire|Paiement à la caisse pour recpetion d'une quittance|Dépot de  la quittance à la porte 2 avec les dossiers|Saisie de l'acte|Signature par la maire ou de l'adjoint|Délivrance de l'acte,offline,active,citizens,commune Ambohimangakely Porte 2,Toute personne mariée légalement souhaitant faire une démarche administrative,Copie d'acte de mariage
MID/CRA/C/P10,Bulletin de naissance,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Service de l'état civil,Bulletin de naissance. Toute personne souhaitant faire une demarche administrative nécessitant ce document,Loi n° 2018-027 Relative à l’état civil,500,500,MGA,"Si résident d'Ambohimangakely 500 Ariary, 
 Si étranger 1 000 Ariary",Copie originale ou livret de famille|Certificat de résidence,6h,Validité: 03mois,Dépot de dossiers à la porte 2|Paiement de la quittance|Traitement du dossier à la porte 2|Saisie et signature par le maire ou l'adjoint|Délivrance du bulletin,offline,active,citizens,commune Ambohimangakely Porte 2,Toute personne souhaitant faire une demarche administrative nécessitant ce document,Bulletin de naissance
MID/CRA/C/P11,légalisation pour obtenir l'acte de notoriété,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Service de l'état civil,légalisation pour obtenir l'acte de notoriété. Toute personne ayant besoin d'une attestation en tant qu'héritier,Loi 2018-027 sur l’état civil,2000,2000,MGA,2000 Ariary/ signature,Acte de décès|Photocopie CIN du témoin et du décédants|Pour les héritiers:|Acte de naissance|Photocopie CIN certifiée|Photocopie certifiée du livret de famille|Certificat de résidence|Pour les témoins au nombre de 04:|Photocopie CIN certifiée|Certificat de résidence,1j,Validité: le moment pour faire l'acte,Dépôt de dossier|Dépot de signature|Légalisation de l'acte|Signature du maire ou l'adjoint,offline,active,citizens,commune Ambohimangakley porte 2,Toute personne ayant besoin d'une attestation en tant qu'héritier,"Légalisation "
MID/CRA/B/P2,Demande d'autorisation d'implantation d'un panneau publicitaire,G2B,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Autorisation d'activité,"Demande d'autorisation d'implantation d'un panneau publicitaire. Société souhaitant bénéficier d'un panneau publicitaire ou d'une peinture murale publicitaire au sein de la commune ",Article 10.09.01.- du Code général des impôts,15000,15000,MGA,15 000 Ariary/m²,Demande d'implantation de panneau publicitaire au Secrétariat Général (manuscrite)|Visé par le fokontany,1semaine,"Validité: 1 an ","Etape 1 : Dépôt de dossier à la Porte 12
Etape 2 : Lecture du dossier par le Maire
Etape 3 : Lecture du dossier par le SG à la Porte 17
Etape 4 : Transfert du dossier au Service technique à la Porte 16
Etape 5 : Paiement de taxe sur la publicité
Etape 6 : Sortie de l'autorisation",offline,active,businesses,Commune Rurale d'Ambohimangakely Porte 12,"Société souhaitant bénéficier d'un panneau publicitaire ou d'une peinture murale publicitaire au sein de la commune ",Autorisation d'implantation d'un panneau publicitaire
MID/CRA/B/P3,Demande d'autorisation d'exercice d'une activité,G2B,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Autorisation d'activité,"Demande d'autorisation d'exercice d'une activité. Toute personne souhaitant exercer une activité dans certains domaines de la commune: 
Vente sur mobilier urbain, 
Installation d'un kiosque,
Bouffes mobiles,
Usage pylone et télécommunication"," Décret n°2005-003 du 04 Janvier 2005 portant Règlement Général sur la Comptabilité de l’exécution budgétaire des organismes publics
Arrêté n° 23197/2015 Portant création d'un Comité de Suivi des Recettes Non Fiscales",60000,60000,MGA,"60 000 Ariary (constitution de dossier),                                    
300 000 Ariary/mois  (terrain domanial appartenant à la commune pour usage pylone et télécommunication),                         
30 000 Ariary/mois (kiosque fraction de 4 m² moins de 2 m²),
100 000 Ariary/mois (bouffes mobiles )",Demande d'autorisation d'exercice d'une activité au sein de la commune,1semaine,Validité: 1 an,"Etape 1 : Dépôt de dossier à la Porte 12
Etape 2 : Lecture du dossier par le Maire
Etape 3 : Lecture du dossier par le SG à la Porte 17
Etape 4 : Transfert du dossier au Service technique à la Porte 16
Etape 5 : Paiement de taxe sur la publicité
Etape 6 : Sortie de l'autorisation",offline,active,citizens,Commune Rurale d'Ambohimangakely Porte 12,"Toute personne souhaitant exercer une activité dans certains domaines de la commune: 
Vente sur mobilier urbain, 
Installation d'un kiosque,
Bouffes mobiles,
Usage pylone et télécommunication",Autorisation d'exercice d'activité
MID/CRA/B/P4,"Demande d'autorisation pour installer des pylônes, relais , antennes",G2B,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Autorisation d'activité,"Demande d'autorisation pour installer des pylônes, relais , antennes. Toute entreprise souhaitant installer un pylône ou relais ou antenne au niveau de la commune ",Article 10.12.01.- du Code général des impôts,1000000,1000000,MGA,1 000 000 Ariary,Autorisation du propriétaire du terrain|Autorisation  du fokontany|Motif de l'entreprise|Permis environnemental,1semaine,"Validité: 1 an ","Etape 1 : Dépôt de dossier à la Porte 12
Etape 2 : Lecture du dossier par le Maire
Etape 3 : Lecture du dossier par le SG à la Porte 17
Etape 4 : Transfert du dossier au Service technique à la Porte 16
Etape 5 : Paiement de droits et taxes liés
Etape 6 : Sortie de l'autorisation",offline,active,"citizens,businesses",Commune Rurale d'Ambohimangakely Porte 12,"Toute entreprise souhaitant installer un pylône ou relais ou antenne au niveau de la commune ","Arrêté portant autorisation d'implantation d'un pylone, relais ou antenne"
MID/CRA/B/P6,"Demande d'autorisation d'extraction de pierre, de sable au niveau propriétaire",G2B,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),"Service relatif à l'obtention d'extraction de pierre, de sable au niveau propriétaire","Demande d'autorisation d'extraction de pierre, de sable au niveau propriétaire. Toute société dont l'activité est d'extraire les ressources naturelles du sol",Loi n° 2015- 052  relative à l’Urbanisme et à l’Habitat,10000,10000,MGA,10 000 Ariary/m3,Autorisation du fokontany|Demande de permis d'extraction|Autorisation environnement|Autorisation mine|Certificat de situation juridique|Acte de notoriété,1mois,Validité: 1 an,"Etape 1 : Visa du fokontany de la demande
Etape 2 : Visa de la commune
Etape 3 : Demande d'autorisation auprès du Ministère des Mines et des Ressources Stratégiques
Etape 4 : Demande d'autorisation environnemental auprès du Ministère de l'Environnement et du Développement Durable
Etape 5 : Dépôt de la demande à la porte 12
Etape 6 : Transfert du dossier au SG pour contrôle,
Etape 7 : Descente du personnel technique pour études,
Etape 8 : Elaboration d'un rapport par les techniciens
Etape 9 : Paiement des droits et taxes liés
Etape 10 : Sortie de l'Autorisation",offline,active,"citizens,businesses",Commune Rurale d'Ambohimangakely Porte 12,Toute société dont l'activité est d'extraire les ressources naturelles du sol,Permis d'extraction
MID/CRA/C/P12,Permis d'inhumation,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Service relatif à l'octroi du permis d'inhumation,Permis d'inhumation. Toute personne qui veut avoir une autorisation pour les funérailles et la mise en terre.,Loi n° 2011-002 Portant Code de la Santé,0,0,MGA,,Une demande d'inhumation rédigée par la personne en charge des obsèques|Autorisation de la commune réceptrice si c'est pas Ambohimangakely                                                                                                                                                                                                                                                                                                 Acte de décès|Certificat de décès d'un médécin,"1jour ",Validité: 1 jour,"Etape 1 : Visa du fokontany de la demande
Etape 2 : Dépôt de la demande à la commune
Etape 3 : Paiement de droits et taxes liés
Etape 4 : Sortie de l'autorisation",offline,active,citizens,Commune Rurale d'Ambohimangakely Porte 17,Toute personne qui veut avoir une autorisation pour les funérailles et la mise en terre.,Permis d'inhumation
MID/CRA/C/P13,Demande de permis de conformité,G2C,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Service de planification,"Demande de permis de conformité. Lors de la construction d'une maison, l'achèvement du chantier doit faire l'objet d'une déclaration attestant la fin des travaux et leur conformité avec le permis de construire qui a été déposé au tout début des travaux.",Loi n° 2015- 052 relative à l’Urbanisme et à l’Habitat,50000,50000,MGA,"50 000 Ariary (constitution de dossier),                                       
60 000 Ariary (cas particulier: usine),                                        
300 000 Ariary (cas d'une société)",Demande adressée au Maire|Photocopie permis de construire|Photocopie plan autorisé|Photocopie CIN certifiée,3jours,Validité: A vie,"Etape 1 : Dépôt de dossier à la Porte12 pour lecture par le Maire
Etape 2 : Lecture par le Secrétaire Général
Etape 3 : Descente Agent technique pour contrôle de conformité
Etape 4 : Elaboration d'un rapport par technicien
Etape 5 : Paiement de droits et taxes liés
Etape 6 : Sortie de l'Autorisation",offline,active,citizens,Commune Rurale d'Ambohimangakely Porte 12,"Lors de la construction d'une maison, l'achèvement du chantier doit faire l'objet d'une déclaration attestant la fin des travaux et leur conformité avec le permis de construire qui a été déposé au tout début des travaux.",Certificat de conformité
MID/CRA/B/P7,Demande de permis de conformité,G2B,MID (Ministère de l'Intérieur et de la Décentralisation),CRA (Commune Rurale d'Ambohimangakely),Service de planification,"Demande de permis de conformité. Lors de la construction d'une maison, l'achèvement du chantier doit faire l'objet d'une déclaration attestant la fin des travaux et leur conformité avec le permis de construire qui a été déposé au tout début des travaux.",Loi n° 2015- 052 relative à l’Urbanisme et à l’Habitat,50000,50000,MGA,"50 000 Ariary (constitution de dossier),                                       
60 000 Ariary (cas particulier: usine),                                        
300 000 Ariary (cas d'une société)",Demande adressée au Maire|Photocopie permis de construire|Photocopie plan autorisé|Photocopie CIN certifiée,3jours,Validité: A vie,"Etape 1 : Dépôt de dossier à la Porte 12 pour lecture par le Maire
Etape 2 : Lecture par le Secrtaire Général
Etape 3 : Descente Agent technique pour contrôle de conformité
Etape 4 : Elaboration d'un rapport par technicien
Etape 5 : Paiement de droits et taxes liés
Etape 6 : Sortie de l'Autorisation",offline,active,citizens,Commune Rurale d'Ambohimangakely Porte 12,"Lors de la construction d'une maison, l'achèvement du chantier doit faire l'objet d'une déclaration attestant la fin des travaux et leur conformité avec le permis de construire qui a été déposé au tout début des travaux.",Certificat de conformité
